Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Total_Passengers_Est,Fatal_Injury_Rate,Serious_Injury_Rate,Severe_Injury_Rate,Is_Destroyed,Make_Model
20060310X00286,Accident,LAX06CA117,2006-02-16,"PRESCOTT, AZ",United States,34.654444,-112.419445,PRC,Ernest A. Love Field Airport,Non-Fatal,Substantial,Airplane,N13514,CESSNA,172M,No,1.0,Reciprocating,Part 91: General Aviation,Personal,,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,30-05-2006,3.0,0.0,0.0,0.0,False,CESSNA_172M
20060314X00301,Accident,LAX06CA120,2006-02-17,"CAREFREE, AZ",United States,33.818056,-111.897777,18AZ,Sky Ranch at Carefree,Non-Fatal,Substantial,Airplane,N29377,CESSNA,177,No,1.0,Reciprocating,Part 91: General Aviation,Personal,,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,30-05-2006,2.0,0.0,0.0,0.0,False,CESSNA_177
20060309X00281,Accident,CHI06CA082,2006-02-20,"BACKUS, MN",United States,46.833334,-94.511667,7Y3,Backus Airport,Non-Fatal,Substantial,Airplane,N1877J,PIPER,PA-28-140,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,30-05-2006,2.0,0.0,0.0,0.0,False,PIPER_PA-28-140
20060313X00292,Accident,SEA06CA056,2006-02-23,"HILLSBORO, OR",United States,45.428334,-122.942222,,,Non-Fatal,Substantial,Airplane,N11568,CESSNA,150L,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,,0.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause,30-05-2006,1.0,0.0,0.0,0.0,False,CESSNA_150L
20060314X00298,Accident,LAX06CA122,2006-02-25,"SEDONA, AZ",United States,34.848611,-111.788611,SEZ,Sedona,Non-Fatal,Substantial,Airplane,N64423,CESSNA,172P,No,1.0,Reciprocating,Part 91: General Aviation,Personal,,0.0,0.0,0.0,2.0,VMC,Taxi,Probable Cause,30-05-2006,2.0,0.0,0.0,0.0,False,CESSNA_172P
20060406X00402,Accident,MIA06CA059,2006-03-04,"SANJUAN, PR",United States,18.433333,-66,,,Non-Fatal,Substantial,Airplane,N2875D,PIPER,PA-18,No,1.0,Reciprocating,Part 91: General Aviation,Banner Tow,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,28-06-2006,1.0,0.0,0.0,0.0,False,PIPER_PA-18
20060407X00407,Accident,SEA06CA061,2006-03-05,"SAINT PAUL, OR",United States,45.222223,-123.05,,,Non-Fatal,Substantial,Airplane,N1991A,PIPER,PA-18,No,1.0,Reciprocating,Part 91: General Aviation,Personal,,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,28-06-2006,2.0,0.0,0.0,0.0,False,PIPER_PA-18
20060325X00345,Accident,NYC06CA077,2006-03-06,"ATLANTIC CITY, NJ",United States,39.356111,-74.453611,KAIY,Atlantic City/Bader Field,Non-Fatal,Substantial,Airplane,N680SP,CESSNA,172S,No,1.0,Reciprocating,Part 91: General Aviation,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,30-05-2006,2.0,0.0,0.0,0.0,False,CESSNA_172S
20060329X00362,Accident,LAX06CA125,2006-03-07,"COMPTON, CA",United States,33.89,-118.243333,CPM,COMPTON,Non-Fatal,Substantial,Airplane,N739NU,CESSNA,172N,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,,0.0,0.0,2.0,0.0,VMC,Go-Around,Probable Cause,30-05-2006,2.0,0.0,0.0,0.0,False,CESSNA_172N
20060322X00328,Accident,CHI06CA098,2006-03-07,"HOLLY, MI",United States,42.665278,-83.418611,,,Non-Fatal,Substantial,Airplane,N7810N,PIPER,PA-28-180,No,1.0,Reciprocating,Part 91: General Aviation,Personal,,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,30-05-2006,2.0,0.0,0.0,0.0,False,PIPER_PA-28-180
20060328X00358,Accident,LAX06CA128,2006-03-09,"SCOTTSDALE, AZ",United States,33.626945,-111.9175,SDL,Scottsdale,Non-Fatal,Substantial,Airplane,N8141L,CIRRUS,SR22,No,1.0,Reciprocating,Part 91: General Aviation,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,30-05-2006,1.0,0.0,0.0,0.0,False,CIRRUS_SR22
20060330X00367,Accident,LAX06CA127,2006-03-10,"MESA, AZ",United States,33.468056,-111.736111,FFZ,Falcon Field,Non-Fatal,Substantial,Airplane,N89166,CESSNA,140,No,1.0,Reciprocating,Part 91: General Aviation,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,30-05-2006,2.0,0.0,0.0,0.0,False,CESSNA_140
20060405X00399,Accident,DFW06CA085,2006-03-15,"HOUSTON, TX",United States,29.505,-95.476667,AXH,HOUSTON-SOUTHWEST,Non-Fatal,Substantial,Airplane,N97881,CESSNA,182,No,1.0,Reciprocating,Part 91: General Aviation,Personal,,0.0,0.0,0.0,3.0,VMC,Taxi,Probable Cause,20-12-2007,3.0,0.0,0.0,0.0,False,CESSNA_182
20060412X00432,Accident,DFW06CA084,2006-03-15,"CHEROKEE CITY, AR",United States,36.188333,-94.487222,NONE,,Non-Fatal,Substantial,Airplane,N5537F,PIPER,PA-28-140,No,1.0,Reciprocating,Part 91: General Aviation,Personal,,0.0,0.0,0.0,2.0,VMC,Go-Around,Probable Cause,29-08-2006,2.0,0.0,0.0,0.0,False,PIPER_PA-28-140
20060404X00391,Accident,MIA06CA065,2006-03-16,"LEESBURG, FL",United States,28.8175,-81.809167,LEE,Leesburg Regional Airport,Non-Fatal,Substantial,Airplane,N737TR,CESSNA,172,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,28-06-2006,1.0,0.0,0.0,0.0,False,CESSNA_172
20060509X00530,Accident,DFW06CA106,2006-03-21,"BRIDGEPORT, TX",United States,33.171945,-97.823611,,,Non-Fatal,Substantial,Airplane,N616SF,CESSNA,172RG,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,29-08-2006,2.0,0.0,0.0,0.0,False,CESSNA_172RG
20060410X00413,Accident,ANC06CA036,2006-03-24,"PRESCOTT, AZ",United States,34.654444,-112.419445,PRC,Ernest A. Love Field,Non-Fatal,Substantial,Airplane,N514ER,CESSNA,172S,No,1.0,Reciprocating,Part 91: General Aviation,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,28-06-2006,1.0,0.0,0.0,0.0,False,CESSNA_172S
